dataset,model,repeat,MAPE,MAE,RMSE
batlik/france,RandomForest,5,2.467306503283304,0.08439010416666642,0.10765583964201714
batlik/france,LinearRegression,6,3.9761246160450887,0.14856536611053525,0.1956874822122969
batlik/france,RandomForest,6,2.4797367944216613,0.08773211805555553,0.1148208029417772
batlik/france,LinearRegression,7,4.073006142531674,0.1466425789400505,0.18832182950486553
batlik/france,RandomForest,7,2.488238465878636,0.08443952546296304,0.1082932179911826
batlik/france,LinearRegression,8,3.9621080471923245,0.14634778415719688,0.19356960799193051
batlik/france,RandomForest,8,2.383782844030058,0.08297430555555556,0.10578052767273481
batlik/france,LinearRegression,9,3.851209982117628,0.14250480614920583,0.19051372792933752
batlik/france,RandomForest,9,2.2911606545508896,0.0793993055555554,0.10199077334358335
batlik/france,LinearRegression,10,3.966706809902546,0.14748987952529388,0.19622356862973764
batlik/france,RandomForest,10,2.4968861006959266,0.08637899305555566,0.10980726541624851
batlik/france,LinearRegression,11,3.7986084569348413,0.13986180226483944,0.18413482964119954
batlik/france,RandomForest,11,2.400649691982405,0.08408133680555564,0.10885195597834944
batlik/france,LinearRegression,12,3.8574956045508118,0.14209425096855624,0.18748554681590585
batlik/france,RandomForest,12,2.3609332622068524,0.08150121527777782,0.10313180726690904
batlik/france,LinearRegression,13,3.9952939242293537,0.1484318839647289,0.1962147833986626
batlik/france,RandomForest,13,2.243838651739759,0.07805725160256421,0.10059647649224765
batlik/france,LinearRegression,14,3.9624524894084816,0.147342704358619,0.1937504097025188
batlik/france,RandomForest,14,2.2996059039613046,0.07912881944444448,0.10113519640258234
batlik/france,LinearRegression,15,4.055773997671037,0.14414578910286951,0.18942602591254495
batlik/france,RandomForest,15,2.558147821431287,0.08616313657407408,0.10725921539986408
batlik/france,LinearRegression,16,3.8390516606805445,0.1429404446288881,0.18827593469927942
batlik/france,RandomForest,16,2.372928100916637,0.08257673611111092,0.10610541338687667
batlik/france,LinearRegression,17,4.023704401635683,0.1495371422285801,0.19573694195925945
batlik/france,RandomForest,17,2.355500358094979,0.08113055555555561,0.1056739567674499
batlik/france,LinearRegression,18,3.913116921350998,0.1463918715497181,0.194521140868707
batlik/france,RandomForest,18,2.377466637338802,0.08259830729166662,0.10355260939933589
batlik/france,LinearRegression,19,4.0021918475622975,0.14953219663194098,0.19644704761900061
batlik/france,RandomForest,19,2.374428821641615,0.08364348958333351,0.10841505077020898
